基金代码,基金名称,场内价格,场内涨幅(%),估算净值,估算涨幅(%),溢价率(%),套利信号,状态
160616,鹏华中证500指数(LOF)A,2.2860,0.04%,2.2974,-0.13%,-0.50,无明显机会,T-1:2.3004 v_index_full_no_cash
160620,鹏华中证A股资源产业指数(LOF)A,2.6920,2.91%,2.6370,-0.13%,2.09,溢价卖出(申购转场内),T-1:2.6404 v_index_full_no_cash
160625,鹏华中证800证券保险指数(LOF)A,0.8570,-0.23%,0.8601,-0.13%,-0.36,无明显机会,T-1:0.8612 v_index_full_no_cash
160626,鹏华中证信息技术指数(LOF)A,1.7750,2.01%,1.7448,-0.13%,1.73,溢价卖出(申购转场内),T-1:1.7471 v_index_full_no_cash
160628,鹏华中证800地产指数(LOF)A,0.4650,1.75%,0.4574,-0.13%,1.66,溢价卖出(申购转场内),T-1:0.4580 v_index_full_no_cash
160629,鹏华中证传媒指数(LOF)A,0.9950,-2.74%,1.0160,-0.13%,-2.07,折价买入(转场内赎回),T-1:1.0173 v_index_full_no_cash
160630,鹏华中证国防指数(LOF)A,0.9240,-0.54%,0.9330,-0.13%,-0.96,无明显机会,T-1:0.9342 v_index_full_no_cash
160631,鹏华中证银行指数(LOF)A,1.3170,-0.98%,1.3331,-0.13%,-1.21,折价买入(转场内赎回),T-1:1.3348 v_index_full_no_cash
160633,鹏华中证全指证券公司指数(LOF)A,1.0900,-0.64%,1.1024,-0.13%,-1.12,折价买入(转场内赎回),T-1:1.1038 v_index_full_no_cash
160634,鹏华中证环保产业指数(LOF)A,1.0000,0.00%,1.1751,-0.13%,-14.90,折价买入(转场内赎回),T-1:1.1766 v_index_full_no_cash
160635,鹏华中证医药指数(LOF)A,0.8980,0.34%,0.9045,-0.13%,-0.72,无明显机会,T-1:0.9057 v_index_full_no_cash
160636,鹏华中证移动互联网指数(LOF)A,1.0000,0.00%,1.3522,-0.13%,-26.05,折价买入(转场内赎回),T-1:1.3540 v_index_full_no_cash
160637,鹏华创业板指数(LOF)A,1.6880,0.18%,1.6959,-0.13%,-0.47,无明显机会,T-1:1.6981 v_index_full_no_cash
160638,鹏华中证一带一路主题指数(LOF)A,3.0140,0.00%,2.9979,-0.13%,0.54,无明显机会,T-1:3.0018 v_index_full_no_cash
160639,鹏华中证高铁产业指数(LOF)A,0.8140,-0.12%,0.8220,-0.13%,-0.98,无明显机会,T-1:0.8231 v_index_full_no_cash
160642,鹏华增瑞混合(LOF)A,2.5450,2.99%,2.5163,-0.12%,1.14,溢价卖出(申购转场内),T-1:2.5194 v_index_blend
160643,鹏华空天军工指数(LOF)A,1.1210,0.00%,1.1262,-0.13%,-0.47,无明显机会,T-1:1.1277 v_index_full_no_cash
160646,鹏华中证沪港深科技龙头指数(LOF)A,1.0000,0.00%,1.1792,-0.13%,-15.19,折价买入(转场内赎回),T-1:1.1807 v_index_full_no_cash
160716,嘉实基本面50指数(LOF)A,2.0350,-0.88%,2.0596,-0.13%,-1.20,折价买入(转场内赎回),T-1:2.0623 v_index_full_no_cash
160722,嘉实惠泽混合(LOF),2.2430,0.18%,2.2585,-0.12%,-0.69,无明显机会,T-1:2.2613 v_index_blend
160805,长盛同智优势混合(LOF),0.7090,2.01%,0.6997,-0.12%,1.32,溢价卖出(申购转场内),T-1:0.7006 v_index_blend
160806,长盛同庆中证800指数(LOF)A,2.0870,1.02%,2.0937,-0.13%,-0.32,无明显机会,T-1:2.0964 v_index_full_no_cash
160807,长盛沪深300指数(LOF)A,1.9290,2.83%,1.9301,-0.13%,-0.06,无明显机会,T-1:1.9326 v_index_full_no_cash
160812,长盛同益成长回报(LOF),2.5030,0.24%,2.5180,0.00%,-0.60,无明显机会,T-1:2.5180 v_top10
160813,长盛同盛成长优选(LOF),1.9280,0.42%,1.9146,-0.12%,0.70,无明显机会,T-1:1.9170 v_index_blend
160910,大成创新成长混合(LOF)A,0.9080,-0.44%,0.9209,-0.12%,-1.40,折价买入(转场内赎回),T-1:0.9220 v_index_blend
160916,大成优选混合(LOF)A,4.4180,0.45%,4.4415,-0.12%,-0.53,无明显机会,T-1:4.4470 v_index_blend
160918,大成中小盘混合(LOF)A,2.5340,-1.02%,2.5590,0.00%,-0.98,无明显机会,T-1:2.5590 v_top10
160919,大成产业升级股票(LOF)A,3.5950,0.00%,3.5647,-0.12%,0.85,无明显机会,T-1:3.5691 v_index_blend
160921,大成多策略混合(LOF)A,1.3960,0.00%,1.3866,-0.12%,0.68,无明显机会,T-1:1.3883 v_index_blend
160925,大成中华沪深港300指数(LOF)A,1.3210,-0.83%,1.3296,-0.13%,-0.65,无明显机会,T-1:1.3313 v_index_full_no_cash
161005,富国天惠成长混合(LOF)A,3.1220,-0.29%,3.1315,-0.12%,-0.30,无明显机会,T-1:3.1354 v_index_blend
161006,富国天惠成长混合(LOF)A(后端),,,,,,,异常: 'NoneTyp
161017,富国中证500指数增强(LOF)A,2.5380,-0.47%,2.5058,-0.13%,1.29,溢价卖出(申购转场内),T-1:2.5090 v_index_full_no_cash
161021,富国中证500指数增强(LOF)A(后端),,,,,,,异常: 'NoneTyp
161024,富国中证军工指数(LOF)A,1.0690,0.66%,1.0656,-0.13%,0.32,无明显机会,T-1:1.0670 v_index_full_no_cash
161025,富国中证移动互联网指数(LOF)A,1.4970,-0.20%,1.5031,-0.13%,-0.40,无明显机会,T-1:1.5050 v_index_full_no_cash
161026,富国中证国有企业改革指数(LOF)A,1.2180,1.25%,1.2104,-0.13%,0.63,无明显机会,T-1:1.2120 v_index_full_no_cash
161027,富国中证全指证券公司指数(LOF)A,1.0500,-1.13%,1.0646,-0.13%,-1.37,折价买入(转场内赎回),T-1:1.0660 v_index_full_no_cash
161028,富国中证新能源汽车指数(LOF)A,0.9940,-0.60%,1.0007,-0.13%,-0.67,无明显机会,T-1:1.0020 v_index_full_no_cash
161029,富国中证银行指数(LOF)A,1.7380,-0.06%,1.7328,-0.13%,0.30,无明显机会,T-1:1.7350 v_index_full_no_cash
161030,富国中证体育产业指数(LOF)A,0.9620,-1.84%,0.9827,-0.13%,-2.11,折价买入(转场内赎回),T-1:0.9840 v_index_full_no_cash
161031,富国中证工业4.0指数(LOF)A,1.5910,2.38%,1.5650,-0.13%,1.66,溢价卖出(申购转场内),T-1:1.5670 v_index_full_no_cash
161032,富国中证煤炭指数(LOF)A,2.1740,0.79%,2.1682,-0.13%,0.27,无明显机会,T-1:2.1710 v_index_full_no_cash
161033,富国中证智能汽车(LOF)A,1.7530,-2.45%,1.7517,-0.13%,0.07,无明显机会,T-1:1.7540 v_index_full_no_cash
161036,富国中证娱乐主题指数增强(LOF)A,0.6130,-1.29%,0.6261,-0.13%,-2.09,折价买入(转场内赎回),T-1:0.6269 v_index_full_no_cash
161037,富国中证高端制造指数增强型(LOF)A,2.8270,-0.04%,2.8435,-0.13%,-0.58,无明显机会,T-1:2.8472 v_index_full_no_cash
161038,富国新兴成长量化精选混合(LOF)A,1.6050,0.00%,1.6094,0.00%,-0.27,无明显机会,T-1:1.6094 v_top10
161039,富国中证1000指数增强(LOF)A,2.4720,0.04%,2.4909,-0.13%,-0.76,无明显机会,T-1:2.4941 v_index_full_no_cash
161118,易方达中小企业100(LOF)A,1.5880,1.08%,1.5823,-0.13%,0.36,无明显机会,T-1:1.5844 v_index_full_no_cash
161119,易方达中债新综指发起式(LOF)A,1.7900,0.00%,1.7874,-0.13%,0.15,无明显机会,T-1:1.7897 v_index_full_no_cash
161121,易方达中证银行ETF联接(LOF)A,1.5690,-0.70%,1.5851,-0.13%,-1.02,折价买入(转场内赎回),T-1:1.5872 v_index_full_no_cash
161122,易方达中证万得生物科技指数(LOF)A,0.5430,0.74%,0.5430,-0.13%,0.00,无明显机会,T-1:0.5437 v_index_full_no_cash
161123,易方达中证万得并购重组(LOF),1.3520,0.00%,1.3558,-0.13%,-0.28,无明显机会,T-1:1.3576 v_index_full_no_cash
161131,易方达科润混合(LOF),1.0770,-2.18%,1.0688,-0.12%,0.77,无明显机会,T-1:1.0701 v_index_blend
161217,国投瑞银中证资源指数(LOF)A,2.1560,3.06%,2.1078,-0.13%,2.29,溢价卖出(申购转场内),T-1:2.1105 v_index_full_no_cash
161218,国投瑞银中证资源指数(LOF)A(后端),,,,,,,异常: 'NoneTyp
161219,国投瑞银新兴产业混合(LOF)A,3.0750,-1.28%,3.0982,-0.12%,-0.75,无明显机会,T-1:3.1020 v_index_blend
161220,国投瑞银新兴产业混合(LOF)A(后端),,,,,,,异常: 'NoneTyp
161222,国投瑞银瑞利混合(LOF)A,2.8590,-1.00%,2.8957,-0.12%,-1.27,折价买入(转场内赎回),T-1:2.8993 v_index_blend
161224,国投瑞银新丝路混合(LOF),1.2690,-1.93%,1.2846,-0.12%,-1.22,折价买入(转场内赎回),T-1:1.2862 v_index_blend
161225,国投瑞银瑞盈混合(LOF)A,2.3900,0.42%,2.3970,-0.12%,-0.29,无明显机会,T-1:2.4000 v_index_blend
161226,国投瑞银白银期货(LOF)A,1.9640,3.31%,1.5844,0.00%,23.96,溢价卖出(申购转场内),T-1:1.5844 v_top10
